id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
746126,SK332419,001W30 25 52N58 24,125,60,"2.999,998",10,0.3,0,0.1,0.3,0.6,1.1,1.4,1.7,2,2,1.8,1.8,1.4,1.1,0.6,0.3,0,0,0.4,0.9,2,3.4,5,6.5,7.5,8.1,8,8.2,8.2,8,7.5,6.4,4.9,3.4,2,1,52.973416,-1.507057
746153,NT23338724,003W13 59 56N04 18,181,78,"5.999,997",180,2.4,2.6,5.9,5.3,14.7,6.8,5.6,5.3,4.5,3.5,2.8,2.2,1.3,1.2,1.9,0.9,0.3,1,0.6,0,2.5,0.3,2.1,1.8,1.4,1.6,2.3,3.2,4.7,7.4,9.1,5.9,16.5,4.6,3.7,3.1,56.071791,-3.233186
746171,SY014960,003W23 57 50N45 19,27,15,"0.100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.755187,-3.399176
746189,SO94777301,002W04 42 52N21 18,147,40,"0.533,301",,1.8,2.7,1.5,0.5,0.7,1.4,1.1,0.2,0,1.6,3.2,2.1,0.8,0.7,1.2,0.9,0.3,0.5,1.8,2.8,1.7,0.6,0.6,1.1,0.7,0,0.2,1.8,3,2.1,0.9,0.8,1.2,0.8,0.1,0.4,52.355115,-2.078214
746227,TF 6267 2032,000E24 33 52N45 22,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.755989,0.409029
746303,SU87709110,000W44 05 51N36 43,142,50,"0.600,000",15,0.5,0.8,0.9,0.6,0.4,0.1,0,0,0.2,0.6,1,1.6,2.5,3.4,4.2,5.5,6.2,6.5,6.8,7,7,6.8,6.5,6.2,5.5,4.2,3.4,2.5,1.6,0.9,0.6,0.2,0,0,0.1,0.3,51.6119,-0.734849
746345,NZ26986050,001W34 49 54N56 18,160,25,"0.100,000",,3.7,5,6.8,8.8,10.8,12.1,12.3,11.5,10.7,10.1,9.9,10.1,10.7,11.5,12.3,12.2,10.8,8.8,6.8,5,3.7,2.5,1.7,1,0.6,0.4,0.1,0,0,0,0.1,0.4,0.6,1.1,1.8,2.5,54.938423,-1.580416
746352,TG23720985,001E18 19 52N38 25,38,19,"0.300,000",60,5,4.2,1.8,0.6,0.2,0.1,0,0.1,0.5,1.9,2.3,1.9,4.4,6.5,4.1,14.1,6.7,3.9,5.1,3.9,1.8,0.6,0.2,0,0,0.1,0.5,1.8,2.4,2,4.4,8,3.8,14.6,7.5,3.9,52.640225,1.305146
746477,SK80942333,000W48 03 52N48 05,138,235,"9.549,926",285,3.7,8.7,3.6,4,8.4,6.9,3.8,4.2,7.8,7.4,5.1,7.7,12.5,7,4.5,4.4,6.7,11.7,6,2.4,6.3,4.5,0.5,0,0.6,1.8,3.6,2.3,0.1,0.4,2.4,3,1.3,0.8,0.6,0.7,52.801451,-0.80088
746505,ST56434883,002W37 32 51N14 13,303,220,"1.500,999",,0,1.8,3.5,6,9,8,9,10,11,10,8,8,10,11,14,20,20,20,20,15,10,7,4,1.8,0.5,0.5,1.2,2.5,4.5,5,3,4.5,5,3,1.5,0,51.236969,-2.625476
746567,NZ56951827,001W07 15 54N33 23,237,37,"4.000,000",290,5.5,5.7,5.9,5.9,6,5.9,5.6,4.9,3.8,2.3,1.3,0.4,0,0,0.5,1.3,2.4,3.4,4.3,5,5.3,5.4,5.3,5,4.3,3.4,2.3,1.2,0.5,0.1,0,0.4,1.2,2.4,3.7,4.9,54.556455,-1.120934
