id,Date,Ensemble,Licence,Ensemble Area,EID,Transmitter Area,Site,Freq.,Block,TII Main Id (Hex),TII Sub Id (Hex),Serv Label1 ,SId 1 (Hex),LSN 1 (Hex),Serv Label2 ,SId 2 (Hex),LSN 2 (Hex),Serv Label3 ,SId 3 (Hex),LSN 3 (Hex),Serv Label4 ,SId 4 (Hex),LSN 4 (Hex),Serv Label5 ,SId 5 (Hex),LSN 5 (Hex),Serv Label6 ,SId 6 (Hex),LSN 6 (Hex),Serv Label7 ,SId 7 (Hex),LSN 7 (Hex),Serv Label8 ,SId 8 (Hex),LSN 8 (Hex),Serv Label9 ,SId 9 (Hex),LSN 9 (Hex),Serv Label10 ,SId 10 (Hex),LSN 10 (Hex),Serv Label11 ,SId 11 (Hex),LSN 11 (Hex),Serv Label12 ,SId 12 (Hex),LSN 12 (Hex),Serv Label13 ,SId 13 (Hex),LSN 13 (Hex),Serv Label14 ,SId 14 (Hex),LSN 14 (Hex),Serv Label15 ,SId 15 (Hex),LSN 15 (Hex),Serv Label16 ,SId 16 (Hex),LSN 16 (Hex),Serv Label17 ,SId 17 (Hex),LSN 17 (Hex),Serv Label18 ,SId 18 (Hex),LSN 18 (Hex),Serv Label19 ,SId 19 (Hex),LSN 19 (Hex),Serv Label20 ,SId 20 (Hex),LSN 20 (Hex),Serv Label21 ,SId 21 (Hex),LSN 21 (Hex),Serv Label22 ,SId 22 (Hex),LSN 22 (Hex),Serv Label23 ,SId 23 (Hex),LSN 23 (Hex),Serv Label24 ,SId 24 (Hex),LSN 24 (Hex),Serv Label25 ,SId 25 (Hex),LSN 25 (Hex),Serv Label26 ,SId 26 (Hex),LSN 26 (Hex),Serv Label27 ,SId 27 (Hex),LSN 27 (Hex),Serv Label28 ,SId 28 (Hex),LSN 28 (Hex),Serv Label29 ,SId 29 (Hex),LSN 29 (Hex),Serv Label30 ,SId 30 (Hex),LSN 30 (Hex),Serv Label31 ,SId 31 (Hex),LSN 31 (Hex),Serv Label32 ,SId 32 (Hex),LSN 32 (Hex),Data Serv Label1,Data SId 1 (Hex),Data Serv Label2,Data SId 2 (Hex),Data Serv Label3,Data SId 3 (Hex),Data Serv Label4,Data SId 4 (Hex),Data Serv Label5,Data SId 5 (Hex),Data Serv Label6,Data SId 6 (Hex),Data Serv Label7,Data SId 7 (Hex),Data Serv Label8,Data SId 8 (Hex),Data Serv Label9,Data SId 9 (Hex),Data Serv Label10,Data SId 10 (Hex),Data Serv Label11,Data SId 11 (Hex),Data Serv Label12,Data SId 12 (Hex),Data Serv Label13,Data SId 13 (Hex),Data Serv Label14,Data SId 14 (Hex),Data Serv Label15,Data SId 15 (Hex)
745395,24/05/2016,Aberdeen,DL000024,Aberdeen,C19A,Redmoss,Redmoss,220.352,11C,3E,13,Northsound 1,C8B1,,Northsound 2,C1C9,1EA,Waves Radio,C6B6,,BBC Scotland,C635,,BBC RNanGaidheal,C336,,Virgin Radio,C3D8,,Times Radio,C0D8,,talkSPORT 2,C1D8,,Original 106,C6E7,,talkSPORT Scot,C6CE,1BD 1BE 1BF 64F,Pure Radio,C4EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745402,11/09/2008,BBC National DAB,BBCD000001,UK,CE15,Abergavenny,Abergavenny,225.648,12B,24,5,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745418,18/01/2017,BBC National DAB,BBCD000001,UK,CE15,Aylesbury,Aylesbury ATE,225.648,12B,16,6,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745451,22/10/2014,BBC National DAB,BBCD000001,UK,CE15,Brecon VHF,Brecon VHF,225.648,12B,28,0A,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745498,03/12/2009,BBC National DAB,BBCD000001,UK,CE15,Fort William,COW HILL,225.648,12B,3D,1,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745539,26/05/2004,BBC National DAB,BBCD000001,UK,CE15,Newcastle,Fenham,225.648,12B,34,3,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745600,01/09/2016,BBC National DAB,BBCD000001,UK,CE15,Kidderminster,KIDDERMINSTER,225.648,12B,1C,6,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745623,15/02/2016,BBC National DAB,BBCD000001,UK,CE15,Letchworth,Letchworth,225.648,12B,16,0D,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745651,05/09/2008,BBC National DAB,BBCD000001,UK,CE15,Nottingham,Mapperley Ridge,225.648,12B,30,8,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745662,01/12/2009,BBC National DAB,BBCD000001,UK,CE15,South Wales (East),MONMOUTH,225.648,12B,24,3,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745676,26/05/2016,BBC National DAB,BBCD000001,UK,CE15,Newton,NEWTON,225.648,12B,34,0F,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745713,26/02/2015,BBC National DAB,BBCD000001,UK,CE15,South West Wales,RHEOLA,225.648,12B,27,0E,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745718,30/10/2014,BBC National DAB,BBCD000001,UK,CE15,Romaldkirk,ROMALDKIRK,225.648,12B,3B,5,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745764,26/06/2014,BBC National DAB,BBCD000001,UK,CE15,Sudbury,SUDBURY,225.648,12B,6,10,BBC Radio 1,C221,,BBC Radio 2,C222,,BBC Radio 3,C223,,BBC Radio 4,C224,,Radio 5 Live,C225,,Radio 5 Extra,C228,,BBC Radio 6Music,C22B,,BBC Radio 1Xtra,C22A,,BBC WorldService,C238,,BBC AsianNetwork,C236,,BBC Radio 4Extra,C22C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Guide,E1C79E5E,BBC Travel,E1C79E60,,,,,,,,,,,,,,,,,,,,,,,,,,
745835,24/11/2015,Bournemouth,DL000028,Bournemouth,C19D,Poole,POOLE,218.64,11B,0D,7,Heart Dorset,C665,197 1B1,Smooth,C1D2,1B7 1B8 1B9,WAVE 105,C3AD,,Capital,C870,196 1C9 1EB,Nation South,C2C5,,BBC Radio Solent,C632,,HITS RADIO BMTH,C49F,,Absolute Country,CCE7,1E2 1E4,Grt Hits S Coast,C5E5,203,HOT Radio,C481,,Hot Gold,CCEF,,Angel Vintage,CDC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Bournemouth,E1C000BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745896,27/03/2015,Coventry,DL000015,Coventry,C18E,SW Warwickshire,Ilmington,229.072,12D,18,17,Free Radio C&W,CFC3,,Smooth Radio,C5A2,1B7 1B9,BBC Cov & Warks,C833,,Heart West Mids,C467,197,HITS RADIO UK,CCE1,1E2 1E4,Grt Hits C&W,C5D2,1.00E+06,Absolute C Rock,C7C9,,Smooth Country,CDE9,,Capital Coventry,C59A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPG Coventry,E1C000C0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745902,20/05/1999,D1 National,DM000001,UK,C181,North London,Alexandra Palace,222.064,11D,0B,2,Classic FM,C2A1,189,Absolute Radio,C1C0,192,talkSPORT,C0C0,1BD 1BE,Magic,C0C6,,Heart 80s,C1DC,,Smooth UK,C6C0,1B7 1B8 1B9,UCB 1,C4CA,,Radio X,C4CD,198,KISS,C5C0,,LBC,C0C2,,Heart UK,CFD1,,Capital UK,C5DA,,Kisstory,CFE6,,Gold UK,CEE8,,Heart Dance,CFE8,,Heart 70s,CAE9,,Heart 90s,CBE9,,Capital XTRA,C37B,,LBC News,C8EA,1F0,Smooth Chill,C9EB,1F2,Capital Dance,C9ED,,GB News,C4F0,,UCB 2,CBD8,,Heart 00s,C9F3,,,,,,,,,,,,,,,,,,,,,,,,,,,E1C000D0,,E1C000B1,,,,,,,,,,,,,,,,,,,,,,,,,,
745915,11/12/2015,D1 National,DM000001,UK,C181,Isle of Grain,Benfleet,222.064,11D,6,14,Classic FM,C2A1,189,Absolute Radio,C1C0,192,talkSPORT,C0C0,1BD 1BE,Magic,C0C6,,Heart 80s,C1DC,,Smooth UK,C6C0,1B7 1B8 1B9,UCB 1,C4CA,,Radio X,C4CD,198,KISS,C5C0,,LBC,C0C2,,Heart UK,CFD1,,Capital UK,C5DA,,Kisstory,CFE6,,Gold UK,CEE8,,Heart Dance,CFE8,,Heart 70s,CAE9,,Heart 90s,CBE9,,Capital XTRA,C37B,,LBC News,C8EA,1F0,Smooth Chill,C9EB,1F2,Capital Dance,C9ED,,GB News,C4F0,,UCB 2,CBD8,,Heart 00s,C9F3,,,,,,,,,,,,,,,,,,,,,,,,,,,E1C000D0,,E1C000B1,,,,,,,,,,,,,,,,,,,,,,,,,,
